id,collected_at,rate_date,bank,period_key,period_label,rate,source_url
521,2026-06-18T10:41:04.070421,2026-06-18,Handelsbanken,1_ar,1 år,3.64,https://www.finansportalen.se/bolan/
522,2026-06-18T10:41:04.071505,2026-06-18,Handelsbanken,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
520,2026-06-18T10:41:04.069310,2026-06-18,Handelsbanken,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
498,2026-06-18T10:41:01.347760,2026-06-18,Handelsbanken,5_ar,5 år,3.6,https://www.compricer.se/bolan/
490,2026-06-18T10:41:04.053355,2026-06-18,Hypoteket,1_ar,1 år,3.69,https://www.finansportalen.se/bolan/
491,2026-06-18T10:41:04.054517,2026-06-18,Hypoteket,2_ar,2 år,3.85,https://www.finansportalen.se/bolan/
489,2026-06-18T10:41:04.052129,2026-06-18,Hypoteket,3_man,3 månader,3.31,https://www.finansportalen.se/bolan/
492,2026-06-18T10:41:01.340458,2026-06-18,Hypoteket,5_ar,5 år,3.93,https://www.compricer.se/bolan/
487,2026-06-18T10:41:04.056775,2026-06-18,ICA Banken,1_ar,1 år,3.9,https://www.finansportalen.se/bolan/
488,2026-06-18T10:41:04.057857,2026-06-18,ICA Banken,2_ar,2 år,4.15,https://www.finansportalen.se/bolan/
486,2026-06-18T10:41:04.055683,2026-06-18,ICA Banken,3_man,3 månader,3.48,https://www.finansportalen.se/bolan/
527,2026-06-18T10:41:04.077488,2026-06-18,Länsförsäkringar,1_ar,1 år,3.59,https://www.finansportalen.se/bolan/
528,2026-06-18T10:41:04.078588,2026-06-18,Länsförsäkringar,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
526,2026-06-18T10:41:04.076279,2026-06-18,Länsförsäkringar,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
503,2026-06-18T10:41:04.049768,2026-06-18,SBAB,1_ar,1 år,3.47,https://www.finansportalen.se/bolan/
504,2026-06-18T10:41:04.050860,2026-06-18,SBAB,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
502,2026-06-18T10:41:04.048642,2026-06-18,SBAB,3_man,3 månader,3.15,https://www.finansportalen.se/bolan/
524,2026-06-18T10:41:04.073772,2026-06-18,SEB,1_ar,1 år,3.54,https://www.finansportalen.se/bolan/
525,2026-06-18T10:41:04.074948,2026-06-18,SEB,2_ar,2 år,3.69,https://www.finansportalen.se/bolan/
523,2026-06-18T10:41:04.072611,2026-06-18,SEB,3_man,3 månader,3.94,https://www.finansportalen.se/bolan/
494,2026-06-18T10:41:04.060149,2026-06-18,Skandia,1_ar,1 år,3.83,https://www.finansportalen.se/bolan/
495,2026-06-18T10:41:04.061363,2026-06-18,Skandia,2_ar,2 år,4.02,https://www.finansportalen.se/bolan/
496,2026-06-18T10:41:01.345483,2026-06-18,Skandia,3_ar,3 år,3.42,https://www.compricer.se/bolan/
493,2026-06-18T10:41:04.058957,2026-06-18,Skandia,3_man,3 månader,3.55,https://www.finansportalen.se/bolan/
497,2026-06-18T10:41:01.346641,2026-06-18,Skandia,5_ar,5 år,3.64,https://www.compricer.se/bolan/
472,2026-06-18T10:41:04.046138,2026-06-18,Stabelo,1_ar,1 år,2.98,https://www.finansportalen.se/bolan/
473,2026-06-18T10:41:04.047347,2026-06-18,Stabelo,2_ar,2 år,3.22,https://www.finansportalen.se/bolan/
474,2026-06-18T10:41:01.317888,2026-06-18,Stabelo,3_ar,3 år,3.34,https://www.compricer.se/bolan/
471,2026-06-18T10:41:04.044283,2026-06-18,Stabelo,3_man,3 månader,2.66,https://www.finansportalen.se/bolan/
475,2026-06-18T10:41:01.319308,2026-06-18,Stabelo,5_ar,5 år,3.49,https://www.compricer.se/bolan/
477,2026-06-18T10:41:04.067166,2026-06-18,Swedbank,1_ar,1 år,3.49,https://www.finansportalen.se/bolan/
478,2026-06-18T10:41:04.068236,2026-06-18,Swedbank,2_ar,2 år,3.64,https://www.finansportalen.se/bolan/
479,2026-06-18T10:41:01.324159,2026-06-18,Swedbank,3_ar,3 år,3.09,https://www.compricer.se/bolan/
476,2026-06-18T10:41:04.066102,2026-06-18,Swedbank,3_man,3 månader,3.89,https://www.finansportalen.se/bolan/
480,2026-06-18T10:41:01.325333,2026-06-18,Swedbank,5_ar,5 år,3.48,https://www.compricer.se/bolan/
366,2026-06-17T11:09:51.830428,2026-06-17,Danske Bank,1_ar,1 år,3.39,https://www.finansportalen.se/bolan/
367,2026-06-17T11:09:51.853313,2026-06-17,Danske Bank,2_ar,2 år,3.56,https://www.finansportalen.se/bolan/
368,2026-06-17T11:09:46.791714,2026-06-17,Danske Bank,3_ar,3 år,3.18,https://www.compricer.se/bolan/
365,2026-06-17T11:09:51.804736,2026-06-17,Danske Bank,3_man,3 månader,3.84,https://www.finansportalen.se/bolan/
369,2026-06-17T11:09:46.793011,2026-06-17,Danske Bank,5_ar,5 år,3.03,https://www.compricer.se/bolan/
405,2026-06-17T11:09:52.248519,2026-06-17,Handelsbanken,1_ar,1 år,3.64,https://www.finansportalen.se/bolan/
406,2026-06-17T11:09:52.253391,2026-06-17,Handelsbanken,2_ar,2 år,3.74,https://www.finansportalen.se/bolan/
